"Something went wrong while connection to our API.","Er is een fout opgetreden tijdens het verbinden met onze API, excuses voor het ongemak."
"No API key given, please enter your API key in the <a href='%s'>configuration</a>.","Er is geen API key opgegeven, u kunt deze in de <a href='%s'>configuratie</a> invullen."
"The given API key is invalid, please enter a valid API key in the <a href='%s'>configuration</a>.","De opgegeven API key is niet geldig, vul a.u.b. een geldige API key in via de <a href='%s'>configuratie</a>."
"Unknown","Onbekend"
"Update SEO statusses","Update SEO statussen"
"Enter your API Key","Vul uw API key in"
"Select the attributes that corresponds with the API fields. If you don't want to use a field, you can use the empty option at the top of the list.","Selecteer de attributen die bij de API velden horen. Als een veld niet gebruikt moet worden, kunt u gebruik maken van de lege optie aan de bovenkant van de lijst."
"Something went wrong while updating the product SEO statusses.","Er is iets mis gegaan tijdens het updaten van de SEO statussen."
"Something went wrong while processing the product SEO results.","Er is iets mis gegaan tijdens het verwerken van de SEO resultaten."
"The SEO statusses have been updated.","De SEO statussen zijn bijgewerkt."
"Based on our information we have calculated the following SEO-score:","Op basis van onze gegevens hebben we de volgende SEO-score berekend:"
"Something went wrong while updating the product SEO status.","Er is iets fout gegaan tijdens het updaten van de SEO status van dit product."
"Something went wrong while updating the category SEO status.","Er is iets fout gegaan tijdens het updaten van de SEO status van deze categorie."
"Something went wrong while removing the category SEO status.","Er is iets fout gegaan tijdens het verwijderen van de SEO status van deze categorie."
"Something went wrong while removing the product SEO status.","Er is iets fout gegaan tijdens het verwijderen van de SEO status van dit product."
"Names as default keywords:","Namen als standaard keywords:"
"Do you want to use the product and category names as default keywords?","Wilt u de product en categorie namen als standaard keywords gebruiken?"
"Something went wrong while loading the product SEO statusses.","Er is iets fout gegaan tijdens het inladen van de product SEO statussen."
"This product has been disabled or is invisble, the SEO-score will not be calculated.","Dit product is uitgeschakeld of niet zichtbaar, de SEO-score zal niet berekend worden."
"Some selected products are disabled or invisible and were not updated, only enabled products will be updated.","Sommige geselecteerde producten zijn uitgeschakeld of niet zichtbaar, alleen ingeschakelde en zichtbare producten worden geupdate."
"Only enabled and visible products will be updated, please select enabled products.","Alleen ingeschakelde en zichtbare producten worden geupdate, selecteer ingeschakelde product a.u.b."
"Analyze images:","Afbeeldingen analyseren:"
"Do you want us to analyze images file names and alt tags?","Wilt u de afbeelingnamen en alt-tags laten analyseren?"
"The SEO scores are being updated.","De SEO scores worden geupdate."
"The SEO scores have been updated.","De SEO scores zijn geupdate."
